Game,Date,Marci,Évi,Gyuri,Judit,Boti,Zsolt,Angi,Gábor,Szilvi,Ákos
Between Two Cities,2020-03-07,1,3,,,,1,,3,,
Between Two Cities,2020-03-07,2,2,,,,2,,1,,
Between Two Cities,2020-03-07,1,3,,,,3,,1,,
7 Wonders,2020-03-14,2,1,,,,,,3,,
7 Wonders,2020-03-14,1,3,,,,,,2,,
Isle of Skye,2020-08-06,1,3,2,,,4,,,,
Love Letter,2020-08-06,1,,2,,,2,,,,
Love Letter,2020-08-06,2,,1,,,3,,,,
Between Two Cities,2020-08-07,5,2,2f,1f,,5,2,,,
Ra,2020-08-08,1,,2,5,,4,3,,,
Ra,2020-08-08,5,,3,4,,1,2,,,
Ra,2020-08-09,4,2,,2,4f,1,,,,
Between Two Cities,2020-08-10,2,2,1,,,2,2,,,
Herbaceous,2020-08-10,4,1,2,,,3,,,,
Herbaceous,2020-08-10,3,2,4,,,1,,,,
Between Two Cities,2020-08-11,4,4,4,2,1f,2,,,,
Herbaceous,2020-08-11,2,3,,1,,4,,,,
Herbaceous,2020-08-11,4,2,,1,,2,,,,
Arboretum,2020-08-12,2,1,,4,,3,,,,
Ra,2020-08-12,1,3,5,,4,2,,,,
Love Letter,2020-08-13,1,3,2,,,3,,,,
Isle of Skye,2020-08-13,2,5,1,2,,2,,,,
Ra,2020-08-13,5,2,3,4,,1,,,,
Klank,2020-08-20,2,,,,,1,,3,,
Brass: Birmingham ,2020-10-18,1f,2f,,,,,,3f,,
Brass: Birmingham ,2020-10-23,1,3,,,,,,2,,
Brass: Birmingham ,2020-10-24,1,2,,,,,,3,,
Brass: Birmingham ,2020-10-26,2,1,,,,3f,,,,
Brass: Birmingham ,2020-10-27,1,,,,,2,,3,,
HMS Dolores,2020-10-29,2,,3f,,,1,,,,
Brass: Birmingham ,2020-10-30,1,2,,,,3,,,,
Brass: Birmingham ,2020-11-1,1,2,,,,3,,,,
Brass: Birmingham ,2020-11-4,1,4,,,,2,,3,,
Brass: Birmingham ,2020-11-7,1,4,,,,3,,2,,
Brass: Birmingham ,2020-12-20,1,4,,,,3,,2,,
Brass: Birmingham ,2020-12-27,3,2,,,,1,,,,
Brass: Birmingham ,2020-12-28,2,1,,,,3,,,,
Brass: Birmingham ,2020-12-29,3,2,,,,1,,,,
Brass: Birmingham ,2020-12-31,1,,3f,2f,,,,,,
Brutal Kingdom,2021-01-01,1,4,2f,3f,,,,,,
Brutal Kingdom,2021-01-01,3,1,2,3,,,,,,
Brutal Kingdom,2021-01-02,1,4,2,,,3,,,,
Brass: Birmingham ,2021-01-03,1,,4,3,,2,,,,
Tiny Towns,2021-01-10,1,2,3f,,,4,,,,
Tiny Towns,2021-01-10,2,1,3,,,4,,,,
Tiny Towns,2021-01-10,1,2,2,,,4,,,,
Tiny Towns,2021-01-31,1,3,,,,2,4f,,,
Tiny Towns,2021-02-20,3,1,,,,2,,,,
Tiny Towns,2021-02-20,3,1,,,,2,,,,
Race for the Galaxy,2021-02-28,1f,2f,,,,3f,,,,
Race for the Galaxy,2021-03-14,1,2,,,,3,,,,
Race for the Galaxy,2021-03-14,1,2,,,,3,,,,
Brass: Birmingham ,2021-05-30,4,2,1,3,,,,,,
Brutal Kingdom,2021-06-17,1,4,,,,3,,1f,,
Virulence,2021-06-17,4,2,,,,3,,1f,,
Ra,2021-06-17,2,1,,,,3,,4,,
Brutal Kingdom,2021-06-19,1,2,3,,,,,,,
Brutal Kingdom,2021-06-19,3,2,,3,,1,,,,
Ra,2021-06-19,2,4,3,,,1,,,,
Coup,2021-06-25,3,2,,,,1,,4,,
Race for the Galaxy,2021-06-25,2,4,,,,1,,3,,
Race for the Galaxy,2021-06-25,2,,,,,1,,3,,
Race for the Galaxy,2021-06-26,3,2,,,,1,,4,,
Race for the Galaxy,2021-06-26,2,3,,,,1,,4,,
Race for the Galaxy,2021-06-29,2,3,,,,,,1,,
Race for the Galaxy,2021-06-29,4,3,,,,1,,2,,
Race for the Galaxy,2021-06-29,2,1,,,,3,,,,
Race for the Galaxy,2021-07-01,2,3,,,,,,1,,
Race for the Galaxy,2021-07-01,1,2,,,,,,3,,
Race for the Galaxy,2021-07-03,2,3,,,,1,,,,
Ra,2021-07-03,5,1,2,4,,2,,,,
Race for the Galaxy,2021-07-04,3,1,,,,2,,,,
Race for the Galaxy,2021-07-04,3,1,2f,4f,,,,,,
Race for the Galaxy,2021-07-04,,1,,3,,2,,,,
Race for the Galaxy,2021-07-04,1,2,,,,3,,,,
Ra,2021-07-04,2,4,,3,,1,,,,
Race for the Galaxy,2021-07-04,3,,1,4,,2,,,,
Race for the Galaxy,2021-07-05,2,4,3,,,1,,,,
Race for the Galaxy,2021-07-05,2,4,1,,,3,,,,
Ra,2021-07-05,2,5,4,3,,1,,,,
Race for the Galaxy,2021-07-05,1,4,3,,,2,,,,
Race for the Galaxy,2021-07-05,1,2,3,,,4,,,,
Race for the Galaxy,2021-07-06,3,1,,,,1,,,,
Race for the Galaxy,2021-07-06,3,2,,,,1,,,,
Race for the Galaxy,2021-07-06,2,3,,4,,1,,,,
Race for the Galaxy,2021-07-06,3,1,2,4,,,,,,
Race for the Galaxy,2021-07-06,,2,,4,,1,,,,
Race for the Galaxy,2021-07-06,1,2,,,,3,,,,
Race for the Galaxy,2021-07-06,1,2,,,,3,,,,
Race for the Galaxy,2021-07-07,1,2,3,,,,,,,
Race for the Galaxy,2021-07-07,3,2,1,,,,,,,
Race for the Galaxy,2021-07-07,1,3,2,,,,,,,
Race for the Galaxy,2021-07-07,3,1,3,,,,,,,
Race for the Galaxy,2021-07-07,2,1,3,,,,,,,
Race for the Galaxy,2021-07-07,3,1,2,,,,,,,
Race for the Galaxy,2021-07-07,2,3,1,,,,,,,
Race for the Galaxy,2021-07-08,2,4,1,,,3,,,,
Race for the Galaxy,2021-07-08,2,,3,,,1,,,,
Race for the Galaxy,2021-07-08,1,,3,,,2,,,,
Race for the Galaxy,2021-07-09,2,1,,,,3,,,,
